instance,algo,pool,run,wind,our_nd,cec_nd,our_cost_min,cec_cost_min,our_power_max,cec_power_max,d_cost_min_abs,d_cost_min_pct,d_power_max_abs,d_power_max_pct,C_cec_ours,C_ours_cec
ns192,nsga2,p100_i50,0,"120deg, 11 m/s",300,300,65463664.75935192,65581593.71178817,871791.6474609375,871791.6474609375,-117928.95243625343,-0.17982019917740413,0.0,0.0,0.07666666666666666,0.8633333333333333
ns192,nsga2,p100_i50,1,"180deg, 11 m/s",300,300,65503799.955849364,65502987.738401376,831450.8041992188,829839.1791992188,812.217447988689,0.0012399700777503977,1611.625,0.19420931674438316,0.7966666666666666,0.14333333333333334
ns192,nsga2,p100_i50,2,"240deg, 13 m/s",273,300,65511665.82327192,65496923.082436495,1275293.580078125,1275293.580078125,14742.740835428238,0.02250905865741595,0.0,0.0,0.5494505494505495,0.37666666666666665
ns192,nsga2,p100_i50,3,"210deg, 13 m/s",300,300,65466642.209778525,65536724.554239735,1428261.6259765625,1428407.3095703125,-70082.34446121007,-0.10693598884882975,-145.68359375,-0.01019902325995685,0.22666666666666666,0.7066666666666667
ns192,nsga2,p100_i50,4,"120deg, 4 m/s",300,300,65498829.95086069,65473349.12672189,1706.8446331024,1706.8446331024,25480.82413879782,0.03891785662205912,0.0,0.0,0.27666666666666667,0.5933333333333334
ns192,nsga2,p100_i50,5,"180deg, 16 m/s",300,300,65513551.99901019,65470537.742071226,2649812.94140625,2650266.671875,43014.25693896413,0.06570017357795926,-453.73046875,-0.017120181661907877,0.9566666666666667,0.013333333333333334
ns192,nsga2,p100_i50,6,"60deg, 16 m/s",300,297,65475748.67302369,65528031.81223907,2521958.24609375,2521958.24609375,-52283.13921537995,-0.07978744022892308,0.0,0.0,0.75,0.25925925925925924
ns192,nsga2,p100_i50,7,"90deg, 10 m/s",300,300,65468001.09548432,65547085.41246057,512348.3198242188,512348.3198242188,-79084.31697625667,-0.12065268269155206,0.0,0.0,0.44,0.36666666666666664
ns192,nsga2,p100_i50,8,"60deg, 6 m/s",300,300,65486509.317679405,65499737.64218106,17162.4146270752,17162.4146270752,-13228.324501655996,-0.020195996164016863,0.0,0.0,0.23333333333333334,0.7166666666666667
ns192,nsga2,p100_i50,9,"0deg, 15 m/s",130,126,65448255.17957805,65441109.11160765,2188406.166015625,2188021.7578125,7146.067970402539,0.010919845441823358,384.408203125,0.017568755966545623,0.0,0.9761904761904762
ns202,moead,p100_i50,0,"270deg, 9 m/s",297,279,86134797.85062861,86171233.78051917,220802.7109375,220802.7109375,-36435.92989055812,-0.04228317071954845,0.0,0.0,0.6464646464646465,0.24014336917562723
ns202,moead,p100_i50,1,"150deg, 2 m/s",162,200,86124525.54911338,86127184.92912054,8.6167390719,8.5877455249,-2659.38000716269,-0.0030877358981966736,0.028993546999998898,0.3376153487074422,0.4444444444444444,0.535
